mnis_id,name,party,constituency,adhoc_earnings,adhoc_hours,ongoing_earnings,ongoing_hours,total_earnings,total_hours,summary
4739,Jerome Mayhew,Conservative,Broadland and Fakenham,0.0,0.0,5330.6,35.5,5330.6,35.5,£5k from 1 ongoing role (Walsingham Estate Management Ltd).
5163,Peter Prinsley,Labour,Bury St Edmunds and Stowmarket,4752.64,29.0,478.34,12.2,5230.98,41.2,"£5k from 7 ad hoc payments (Peter Prinsley private medical practice, Private patient payments and 3 others). £478 from 1 ongoing role (Norwich City Council)."
4479,Nick Thomas-Symonds,Labour,Torfaen,5166.19,0.0,0.0,0.0,5166.19,0.0,£5k from 6 ad hoc payments (The Wylie Agency (UK) Ltd).
4480,Carolyn Harris,Labour,Neath and Swansea East,5040.0,118.5,0.0,0.0,5040.0,118.5,£5k from 17 ad hoc payments (ITN).
4474,Kevin Hollinrake,Conservative,Thirsk and Malton,5000.0,0.0,0.0,0.0,5000.0,0.0,£5k from 1 ad hoc payment (Together Financial Services Ltd).
5226,Michelle Welsh,Labour,Sherwood Forest,835.63,40.0,4146.87,533.7,4982.5,573.7,£836 from 2 ad hoc payments (Nottinghamshire County Council and Gedling Borough Council). £4k from 2 ongoing roles (Nottinghamshire County Council and Gedling Borough Council).
5037,Lola McEvoy,Labour,Darlington,4971.51,0.0,0.0,0.0,4971.51,0.0,£5k from 1 ad hoc payment (GMB Union).
5355,Sarah Bool,Conservative,South Northamptonshire,4825.59,35.0,0.0,0.0,4825.59,35.0,£5k from 1 ad hoc payment (Forsters LLP).
5118,Chris Curtis,Labour,Milton Keynes North,4800.0,64.0,0.0,0.0,4800.0,64.0,£5k from 1 ad hoc payment (Labour Party).
5041,Shaun Davies,Labour,Telford,0.0,0.0,4759.06,127.7,4759.06,127.7,£5k from 2 ongoing roles (Wrekin Housing Group and Telford and Wrekin Council).
5318,Olly Glover,Liberal Democrat,Didcot and Wantage,4450.0,98.0,0.0,0.0,4450.0,98.0,£4k from 1 ad hoc payment (AtkinsRéalis).
4857,Carla Lockhart,Democratic Unionist Party,Upper Bann,0.0,0.0,4442.16,741.2,4442.16,741.2,£4k from 1 ongoing role (Carla Lockhart and Rodney Condell).
5186,Bradley Thomas,Conservative,Bromsgrove,4342.08,30.0,0.0,0.0,4342.08,30.0,£4k from 1 ad hoc payment (Baxi Heating UK Limited).
5060,Josh Simons,Labour,Makerfield,4340.33,45.0,0.0,0.0,4340.33,45.0,£4k from 2 ad hoc payments (Labour Together and Sky UK Limited).
5128,Phil Brickell,Labour,Bolton West,4064.39,85.0,0.0,0.0,4064.39,85.0,£4k from 2 ad hoc payments (NatWest Group PLC and Manchester City Council).
5102,Carla Denyer,Green Party,Bristol Central,4001.1,20.0,0.0,0.0,4001.1,20.0,£4k from 3 ad hoc payments (ITV Studios Limited and The Green Party of England and Wales).
